# Esperanto-Russian translations created from the Universal dictionary at 2011-08-27T09:40:50-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 английский язык 	 language 
 kulturo 	 культура 	 society 
 kun 	 с 	 preposition 
 kune 	 вместе 	 adverb 
 kunligi 	 соединить(ся) 	 verb 
 kuracado 	 обхождение 	 abstract 
 kuranta 	 современный 	 adjective 
 kuraĝigi 	 ободрить 	 verb 
 kurbo 	 искривление ; кривизна ; изгиб 	 mathematics 
 kurbo 	 кривая ; дуга 	 art 
 kuri 	 бежать 	 verb 
 kurso 	 курс 	 education 
 kurta 	 короткий 	 adjective 
 kurteno 	 занавеска 	 house 
 kusxi 	 лежать 	 verb 
 kutime 	 обычно 	 adverb 
 kvadrata 	 квадратный 	 adjective 
 kvadrato 	 вторая степень 	 mathematics 
 kvadrato 	 квадрат 	 mathematics 
 kvalito 	 качество 	 abstract 
 kvar 	 четыре 	 number 
 kvara 	 четвёртый 	 number 
 kvardek 	 сорок 	 number 
 kvieta 	 тихий 	 adjective 
 kvieteco 	 тишина 	 abstract 
 kvin 	 пять 	 number 
 kvina 	 пятый 	 number 
 kvindek 	 пятьдесят 	 number 
 la 	 ''not used'' 	 article 
 labori 	 обрабатывать 	 verb 
 labori 	 работать 	 verb 
 laboristo 	 рабочий 	 profession 
 laboro 	 дело 	 abstract 
 laboro 	 работа 	 abstract 
 laca 	 усталый 	 adjective 
 ladskatolo 	 консерва 	 object 
 lago 	 озеро 	 nature 
 lakto 	 молоко 	 food 
 lamentinda 	 грустный 	 adjective 
 lango 	 язык 	 anatomy 
 lano 	 волна ; шерсть 	 material 
 lanta 	 медленный 	 adjective 
 lante 	 медленно 	 adverb 
 largxa 	 широкий 	 adjective 
 lasta 	 прошлый 	 adjective 
 latero 	 сторона 	 mathematics 
 laux 	 вдоль 	 adverb 
 lauxta 	 громкий 	 adjective 
 lavi 	 вымыть 	 verb 
 lavkuvo 	 лохань 	 house 
 ledo 	 кожа 	 material 
 lefta 	 левый 	 adjective 
 legi 	 читать 	 verb 
 leono 	 лев 	 animal 
 lernanto 	 студент ; ученик 	 profession 
 lernejo 	 школа 	 city 
 lerni 	 учить(ся) 	 verb 
 lerta 	 опытный 	 adjective 
 lerteco 	 искусство 	 sports 
 levi 	 поднять 	 verb 
 levi 	 увеличить 	 verb 
 levigxi 	 встать 	 verb 
 leĝa 	 законный 	 adjective 
 leĝo 	 закон 	 society 
 li 	 его 	 pronoun 
 lia 	 его 	 pronoun 
 libera 	 свободный 	 adjective 
 liberigi 	 освободить 	 verb 
 libro 	 книга 	 object 
 lifto 	 лифт 	 device 
 ligno 	 дерево 	 material 
 likva 	 жидкий 	 adjective 
 likva 	 жидкость 	 nature 
 limigi 	 ограничивать 	 verb 
 limito 	 граница ; лимит 	 mathematics 
 lingvo 	 язык 	 communication 
 lipo 	 губа 	 anatomy 
 listo 	 перечень 	 abstract 
 litero 	 буква 	 linguistics 
 litero 	 письмо 	 object 
 lito 	 кровать ; постель 	 house 
 liveri 	 вручить 	 verb 
 liveri 	 предоставить 	 verb 
 logxantaro 	 население 	 society 
 loka 	 местный 	 adjective 
 loko 	 место 	 abstract 
 longa 	 длинный 	 adjective 
 ludanto 	 игрок 	 sports 
 ludi 	 играть 	 verb 
 ludo 	 игра 	 mathematics 
 ludo 	 игра 	 sports 
 lumo 	 свет 	 nature 
 lundo 	 понедельник 	 time 
 luno 	 месяц 	 nature 
 majusklo 	 заглавная буква 	 linguistics 
 majxora 	 главный 	 adjective 
 malalta 	 низкий ; невысокий 	 adjective 
 malami 	 ненавидеть 	 verb 
 malamo 	 ненависть 	 relations 
 malantaux 	 сзади ; позади 	 adverb 
 malbela 	 безобразный ; некрасивый 	 adjective 
 malbona 	 плохой 	 adjective 
 maldika 	 узкий 	 adjective 
 maldorma 	 бдительный 	 adjective 
 maldungi 	 сократить 	 verb 
 malfacila 	 трудный 	 adjective 
 malfacileco 	 трудность 	 abstract 
 malfermi 	 открыть 	 verb 
 malfrue 	 поздно 	 adverb 
 malgaja 	 печальный 	 adjective 
 malgranda 	 маленький 	 adjective 
 malgrasa 	 нежирный 	 adjective 
 malgrauxe 	 хотя 	 adverb 
 malgraŭ 	 несмотря 	 preposition 
 malgxusta 	 неправильный 	 adjective 
 maljuna 	 старый 	 adjective 
 malmulta 	 немного ; мало 	 adjective 
 malmulta 	 немного ; мало 	 adverb 
 malmultekosta 	 дешевый 	 adjective 
 malo 	 противоположность 	 abstract 
 malpeza 	 лёгкий 	 adjective 
 malpura 	 грязный 	 adjective 
 malpura 	 грязный 	 adjective 
 malricxa 	 бедный 	 adjective 
 malriĉa 	 жалкий ; жалобный 	 adjective 
 malsana 	 больной 	 adjective 
 malsano 	 болезнь 	 medicine 
 malsanulejo 	 больница 	 city 
 malsata 	 голодный 	 adjective 
 malseka 	 мокрый 	 adjective 
 malsekigi 	 намочить 	 verb 
 malsupren 	 книзу ; вниз 	 adverb 
 malvarma 	 холодный 	 adjective 
 malvarmo 	 холод 	 nature 
 malvarmumo 	 простуда ; насморк 	 medicine 
 malvasta 	 узкий 	 adjective 
 maniero 	 способ ; метод ; стиль 	 mathematics 
 mano 	 рука 	 anatomy 
 mansaketo 	 сумка ; сумочка 	 clothes 
 manĝi 	 есть 	 verb 
 manĝo 	 блюдо ; еда 	 food 
 mapo 	 карта 	 object 
 maristo 	 матрос ; моряк 	 profession 
 marko 	 марка 	 abstract 
 maro 	 море 	 nature 
 marsxi 	 идти 	 verb 
 martelo 	 молоток 	 object 
 maskla 	 мужской 	 adjective 
 masklo 	 самец 	 society 
 maso 	 масса 	 physics 
 matcxo 	 матч 	 sports 
 matenmangxo 	 завтрак 	 food 
 mateno 	 утро 	 time 
 materia 	 материальный 	 adjective 
 materialo 	 материал 	 material 
 materio 	 вещество 	 material 
 mebloj 	 мебель 	 house 
 medicina 	 лечебный 	 adjective 
 medio 	 окружение 	 nature 
 membro 	 член 	 society 
 memoro 	 воспоминание 	 communication 
 memoro 	 память 	 communication 
 mencii 	 цитировать 	 verb 
 mendo 	 приказ ; команда 	 society 
 menso 	 ум, мысль 	 mathematics 
 mensogi 	 лгать 	 verb 
 mensogo 	 ложь 	 communication 
 mentono 	 подбородок 	 anatomy 
 menuo 	 меню 	 object 
 merkredo 	 среда 	 time 
 metala 	 металлический 	 adjective 
 metalo 	 металл 	 material 
 meti 	 класть 	 verb 
 metodo 	 способ ; метод 	 mathematics 
 metroo 	 метро 	 transport 
 metropolo 	 мегаполис 	 society 
 meznombro 	 среднее 	 mathematics 
 mezurado 	 измерение 	 art 
 mezuri 	 мерить 	 verb 
 mezuro 	 мероприятия 	 abstract 
 mia 	 мой 	 pronoun 
 mil 	 тысяча 	 number 
 miliono 	 миллион 	 number 
 militisto 	 военный 	 adjective 
 min 	 меня 	 pronoun 
 minejo 	 шахта 	 object 
 ministro 	 министр 	 profession 
 minuto 	 минута 	 time 
 minuto 	 момент ; миг 	 time 
 modelo 	 модель ; макет 	 object 
 moderna 	 современный 	 adjective 
 moderna 	 современный 	 adjective 
 modo 	 мода 	 abstract 
 mola 	 мягкий 	 adjective 
 momente 	 немедленно 	 adverb 
 momento 	 момент ; мгновение 	 mathematics 
 monatajxo 	 менструация 	 medicine 
 monato 	 месяц 	 time 
 monato 	 месяц 	 transport 
 monbileto 	 банкнот ; кредитный билет 	 business 
 mondo 	 свет ; мир 	 nature 
 mono 	 деньги 	 business 
 monteto 	 взгорье ; холм 	 nature 
 monto 	 гора 	 nature 
 montri 	 доказать 	 verb 
 montri 	 показать 	 verb 
 mordi 	 куснуть 	 verb 
 morgaŭ 	 завтра 	 adverb 
 morta 	 мёртвый 	 adjective 
 morti 	 умереть 	 verb 
 mortigi 	 убить 	 verb 
 morto 	 смерть 	 nature 
 motivo 	 причина 	 communication 
 motoro 	 двигатель 	 device 
 movado 	 движение 	 physics 
 movi 	 двигать 	 verb 
 movo 	 движение 	 physics 
 multaj 	 много 	 adjective 
 multe 	 много 	 adjective 
 muro 	 стена 	 house 
 muskolo 	 мускул ; мышца 	 anatomy 
 muzeo 	 музей 	 city 
 muzikisto 	 музыкант 	 profession 
 muziko 	 музыка 	 art 
 muŝo 	 муха 	 animal 
 nacia 	 национальный ; народный 	 adjective 
 nacio 	 народ ; нация 	 society 
 najbaro 	 сосед 	 family 
 najlo 	 гвоздь 	 object 
 naskiĝtago 	 день рождения 	 family 
 natura 	 натуральный 	 adjective 
 natura lingvo 	 язык 	 linguistics 
 naturo 	 природа 	 nature 
 nazo 	 нос 	 anatomy 
 naŭ 	 девять 	 number 
 naŭa 	 девятый 	 number 
 ne 	 нет 	 abstract 
 ne 	 нет 	 adverb 
 necesa 	 необходимый 	 adjective 
 necesejo 	 уборная ; туалет 	 house 
 necesi 	 требовать 	 verb 
 nefleksebla 	 жёсткий ; негнущийся 	 adjective 
 neglekti 	 запустить 	 verb 
 negoci 	 торговать 	 verb 
 negocisto 	 бизнесмен 	 profession 
 negxi 	 идёт снег 	 verb 
 negxo 	 снег 	 nature 
 nelge 	 недавно 	 adverb 
 nenia 	 никакой ; никто 	 adjective 
 nenio 	 нуль ; ничто ; ничего 	 mathematics 
 nervo 	 нерв 	 anatomy 
 neĝo 	 снег 	 nature 
 ni 	 мы 	 pronoun 
 nia 	 наш 	 pronoun 
 nigra 	 чёрный 	 adjective 
 nin 	 нас 	 pronoun 
 niveli 	 выравнить 	 verb 
 nodo 	 узел 	 object 
 nokto 	 ночь 	 nature 
 noktomezo 	 полночь 	 time 
 nombro 	 количество 	 abstract 
 nombro 	 количество ; число 	 linguistics 
 nomi 	 назвать 	 verb 
 nomo 	 имя 	 linguistics 
 norda 	 северный 	 adjective 
 nordo 	 север 	 logistics 
 normala 	 нормальный 	 adjective 
 normala 	 стандартный 	 adjective 
 noto 	 заметка 	 communication 
 noto 	 отметка 	 education 
 nova 	 новый 	 adjective 
 novaĵo 	 новость 	 society 
 novembro 	 ноябрь 	 time 
 nubo 	 облако 	 nature 
 nukso 	 орех 	 food 
 nun 	 сейчас 	 time 
 nuna 	 современный ; настойащий 	 adjective 
 nuntempe 	 теперь ; сейчас 	 adverb 
 nupto 	 брак 	 family 
 nur 	 просто ; только 	 adverb 
 nutraĵo 	 блюдо ; питание 	 food 
 observi 	 смотреть 	 verb 
 odori 	 пахнуть 	 verb 
 odori 	 чуять 	 verb 
 odoro 	 запах 	 nature 
 oferti 	 предложить 	 verb 
 oferto 	 предложение 	 abstract 
 oficejo 	 офис ; контора ; канцелярия 	 business 
 oficisto 	 чиновник 	 profession 
 ofte 	 часто 	 adverb 
 ok 	 восемь 	 number 
 oka 	 восьмой 	 number 
 okazi 	 случиться 	 verb 
 okazo 	 возможность 	 abstract 
 okazo 	 случай 	 abstract 
 okcidento 	 запад 	 logistics 
 okdek 	 восемьдесят 	 number 
 oktobro 	 октябрь 	 time 
 okulo 	 глаз 	 anatomy 
 okupo 	 профессия ; работа 	 business 
 ol 	 чем 	 conjunction 
 oleo 	 масло 	 material 
 ondo 	 волна 	 nature 
 operacio 	 операция 	 abstract 
 opinii 	 думать 	 verb 
 opinio 	 мнение ; суждение 	 communication 
 ora 	 золотой ; золотистий 	 color 
 orangxa 	 оранжевый 	 color 
 oranĝo 	 апельсин 	 food 
 ordeno 	 орден 	 society 
 ordo 	 порядок 	 linguistics 
 ordoni 	 приказать 	 verb 
 orelo 	 ухо 	 anatomy 
 organizado 	 организация 	 society 
 oriento 	 выход 	 logistics 
 origina 	 исходный ; оригинальный 	 adjective 
 originalo 	 оригинал 	 object 
 origino 	 источник 	 transport 
 orkestro 	 оркестр 	 art 
 oro 	 золото 	 material 
 ortografio 	 правописание ; орфография 	 linguistics 
 osto 	 кость 	 anatomy 
 ovo 	 яйцо 	 food 
 pacienca 	 терпеливый 	 adjective 
 paciento 	 пациент ; больной 	 medicine 
 paco 	 мир 	 abstract 
 pafi 	 стрелять 	 verb 
 pafilo 	 оружие 	 object 
 pagi 	 платить 	 verb 
 pako 	 пакет 	 object 
 palpi 	 чувствовать 	 verb 
 palto 	 пальто ; пиджак 	 clothes 
 pano 	 хлеб 	 food 
 papero 	 бумага 	 material 
 para 	 чётный 	 adjective 
 paralela 	 параллельный 	 adjective 
 pardoni 	 простить 	 verb 
 parko 	 парк ; сад 	 city 
 paro 	 пара 	 number 
 parolado 	 язык 	 linguistics 
 paroli 	 говорить 	 verb 
 parto 	 часть 	 abstract 
 parto 	 часть 	 society 
 pasagxero 	 пассажир 	 transport 
 pasinta 	 прошлый 	 adjective 
 pasporto 	 паспорт 	 object 
 pasxo 	 шаг ; поступь 	 mathematics 
 patrino 	 мамочка 	 family 
 patro 	 папа ; отец 	 family 
 pauxzo 	 пауза ; перерыв 	 abstract 
 paĝo 	 страница 	 object 
 paŭzo 	 перерыв ; пауза 	 time 
 peco 	 кусок 	 abstract 
 peco 	 кусок 	 object 
 peco 	 кусок 	 object 
 peno 	 надсада 	 abstract 
 peno 	 старание 	 abstract 
 penso 	 мысль 	 communication 
 pentrado 	 картина 	 art 
 perdi 	 проиграть 	 verb 
 perdi 	 терять 	 verb 
 perdo 	 утрата ; пропадание ; урон 	 business 
 perforta 	 насильственный 	 adjective 
 permesi 	 оставить 	 verb 
 permesi 	 разрешить 	 verb 
 persona 	 личный 	 adjective 
 personeco 	 характер 	 abstract 
 persono 	 лицо ; человек 	 family 
 peti 	 просить 	 verb 
 peti 	 спрашивать 	 verb 
 peto 	 просьба 	 communication 
 petrolo 	 нефть 	 material 
 peza 	 трудный 	 adjective 
 pezi 	 взвешивать(ся) 	 verb 
 pezo 	 вес 	 physics 
 piedbato 	 пинок 	 abstract 
 piedfingro 	 палец на ноге 	 anatomy 
 piedo 	 подошва 	 anatomy 
 piedpilko 	 футбол 	 sports 
 pilko 	 мяч 	 object 
 piloto 	 пилот 	 profession 
 pinglo 	 булавка 	 object 
 pisti 	 разгромить 	 verb 
 plani 	 наметить 	 verb 
 plani 	 предложить 	 verb 
 planko 	 настил ; пол 	 house 
 plano 	 план 	 abstract 
 planto 	 растение 	 house 
 plata 	 плоский 	 adjective 
 plejparto 	 большинство 	 abstract 
 plena 	 полный 	 adjective 
 plenigi 	 наполнить 	 verb 
 plezuro 	 удовольствие 	 abstract 
 pli 	 более ; болше 	 adjective 
 plibonigi 	 улучшить 	 verb 
 pliigo 	 прирост 	 abstract 
 plimalgrandigi 	 сократить 	 verb 
 plori 	 плакать 	 verb 
 plue 	 дальше 	 adjective 
 plugi 	 пахать 	 verb 
 plumbo 	 свинец 	 material 
 plumo 	 перо 	 object 
 plumo 	 ручка 	 object 
 pluvi 	 дождить ; идёт дождь 	 verb 
 pluvo 	 дождь 	 nature 
 pluvo 	 дождь 	 nature 
 poemo 	 стихотворение ; поэма 	 art 
 poezio 	 поэзия 	 art 
 pokalo 	 кубок 	 object 
 policano 	 милиционер 	 profession 
 polico 	 полиция 	 society 
 politika 	 политический 	 adjective 
 politikisto 	 политик 	 profession 
 politiko 	 политика 	 society 
 poluri 	 глянцевать 	 verb 
 polvo 	 порошок 	 material 
 polvo 	 пыль 	 material 
 pomo 	 яблоко 	 food 
 ponto 	 мост 	 object 
 popolamaso 	 общественность 	 society 
 pordego 	 ворота ; калитка 	 house 
 pordo 	 дверь ; створка 	 house 
 porko 	 свинья 	 animal 
 porti 	 нести 	 verb 
 porti 	 носить 	 verb 
 porti 	 перенести 	 verb 
 posedanto 	 собственник ; владелец ; обладатель 	 business 
 post 	 после ; потом 	 adjective 
 poste 	 потом 	 adverb 
 posttagmezo 	 время после полудня 	 time 
 povo 	 сила 	 abstract 
 povo 	 способность 	 abstract 
 pozicio 	 позиция ; положение 	 linguistics 
 poŝtelefono 	 мобильный телефон ; мобильник 	 device 
 poŝto 	 почта 	 communication 
 praktiko 	 практика 	 art 
 prefere 	 лучше 	 adverb 
 premo 	 давление 	 nature 
 preni 	 взять ; брать 	 verb 
 presi 	 напечатать 	 verb 
 preskaux 	 почти 	 adverb 
 preta 	 готовый ; приготовленный 	 adjective 
 pretigi 	 приготовить 	 verb 
 preventi 	 предотвратить 	 verb 
 prezenti 	 представить 	 verb 
 prezenti 	 привести 	 verb 
 prezidento 	 президент 	 profession 
 prezo 	 оценка 	 transport 
 prilabori 	 выработать 	 verb 
 printempo 	 весна 	 nature 
 priskribi 	 описать 	 verb 
 privata 	 скромный 	 adjective 
 prizono 	 тюрьма ; заточение 	 city 
 problemo 	 проблема 	 abstract 
 problemo 	 проблема 	 mathematics 
 procedo 	 процесс ; процедура 	 mathematics 
 produktado 	 производство 	 abstract 
 produkto 	 продукт 	 object 
 profesia 	 профессиональный 	 adjective 
 profesiisto 	 профессионал 	 profession 
 profiti 	 нажива ; получать доход 	 verb 
 profito 	 прибыль ; нажива 	 business 
 programo 	 программа 	 abstract 
 proklamo 	 провозглашение ; объявление 	 communication 
 proksima 	 близкий ; недалёкий 	 adjective 
 proksimume 	 приблизительно 	 adverb 
 prononco 	 произношение 	 linguistics 
 proponi 	 предложить 	 verb 
 propono 	 предложение 	 abstract 
 propono 	 проект 	 abstract 
 propra 	 свой 	 adjective 
 protesti 	 возражать ; протестовать 	 verb 
 protesto 	 протест 	 communication 
 prototipo 	 образец 	 linguistics 
 provi 	 попробовать 	 verb 
 publika 	 общественный 	 travelling 
 publikigi 	 издать 	 verb 
 pumpi 	 качать 	 verb 
 pumpilo 	 насос 	 device 
 punkto 	 точка 	 linguistics 
 puno 	 наказание 	 society 
 pura 	 чистый 	 adjective 
 purigi 	 чистить 	 verb 
 puto 	 колодец 	 object 
 puŝi 	 толкнуть 	 verb 
 radiko 	 корень 	 mathematics 
 radiko 	 корень 	 nature 
 rado 	 колесо 	 object 
 rapida 	 быстрый 	 logistics 
 rapide 	 быстро 	 adverb 
 raporto 	 рапорт 	 abstract 
 reago 	 реакция 	 abstract 
 redoni 	 вернуть 	 verb 
 ree 	 опять 	 adverb 
 reflekti 	 отражать 	 verb 
 regado 	 правительство 	 society 
 regi 	 править 	 verb 
 regiono 	 район 	 nature 
 registri 	 записать 	 verb 
 regula 	 регулярный 	 adjective 
 regulo 	 правило ; предписание 	 linguistics 
 regxa 	 королевский 	 adjective 
 regxo 	 король 	 society 
 reklamo 	 пропаганда ; реклама ; объявление 	 business 
 rekompenco 	 оплата 	 society 
 rekordo 	 рекорд 	 abstract 
 rekta 	 прямой 	 adjective 
 rekte 	 прямо 	 adverb 
 religio 	 религия 	 society 
 relo 	 рельс 	 transport 
 rendevuo 	 встреча ; свидание 	 relations 
 renkonti 	 встречать(ся) 	 verb 
 renkontigxo 	 встреча 	 communication 
 reprezentanto 	 заместитель 	 profession 
 reprezenti 	 символизировать 	 verb 
 respondeca 	 ответственный 	 adjective 
 respondeco 	 ответственность 	 abstract 
 respondi 	 отвечать ; ответить 	 verb 
 respondo 	 ответ 	 communication 
 respubliko 	 демократия ; республика 	 society 
 resti 	 остаться 	 verb 
 resto 	 остаток 	 business 
 restoracio 	 ресторан 	 city 
 reto 	 сплетение 	 material 
 revuo 	 журнал 	 object 
 rezulto 	 результат 	 mathematics 
 ricevi 	 получить 	 verb 
 rideti 	 улыбаться 	 verb 
 rideto 	 улыбка 	 abstract 
 ridi 	 смеяться 	 verb 
 rifuzi 	 отказаться 	 verb 
 rigardi 	 смотреть 	 verb 
 rigardo 	 вид ; взгляд 	 communication 
 rilato 	 соотношение 	 communication 
 ringo 	 кольцо 	 clothes 
 riporti 	 сообщать 	 verb 
 ripozi 	 отдыхать 	 verb 
 ripozo 	 отдых 	 abstract 
 riski 	 рисковать 	 verb 
 risko 	 риск 	 transport 
 risorto 	 пружина 	 object 
 ritmo 	 ритм 	 art 
 riveli 	 разоблачить ; открыть 	 verb 
 rivero 	 река 	 nature 
 rizo 	 рис 	 food 
 rizo 	 рис 	 food 
 rompi 	 разбить 	 verb 
 rompita 	 разбитый 	 adjective 
 rondigi 	 округлять(ся) 	 verb 
 rondo 	 круг 	 mathematics 
 rozkolora 	 розоватый ; розовый 	 color 
 rubo 	 отходы 	 material 
 rugxa 	 красный 	 color 
 ruro 	 страна 	 society 
 ruzo 	 трюк 	 abstract 
 sabato 	 суббота 	 time 
 sablo 	 песок 	 material 
 sagaca 	 проницательный 	 adjective 
 sagxa 	 мудрый 	 adjective 
 saketo 	 мешок 	 object 
 salato 	 салат 	 food 
 sali 	 солить 	 verb 
 salo 	 соль 	 food 
 salti 	 прыгать ; скакать 	 verb 
 salto 	 скачок ; прыжок 	 abstract 
 salubra 	 здоровый 	 adjective 
 sama 	 одинаковый 	 adjective 
 sandvicxo 	 сандвич ; бутерброд 	 food 
 sango 	 кровь 	 anatomy 
 sano 	 здоровье 	 abstract 
 sano 	 здоровье 	 medicine 
 sapi 	 намылить 	 verb 
 sapo 	 мыло 	 material 
 sauxco 	 соус 	 food 
 savi 	 спасти 	 verb 
 scenejo 	 сцена 	 object 
 scienco 	 наука 	 society 
 scienculo 	 учёный 	 profession 
 scii 	 знать 	 verb 
 se 	 если 	 conjunction 
 seka 	 сухой 	 adjective 
 sekcio 	 отделение 	 society 
 sekcio 	 секция ; участок 	 mathematics 
 sekigi 	 высоцхнуть 	 verb 
 sekigi 	 высушить 	 verb 
 sekreta 	 секрет ; тайна 	 communication 
 sekretario 	 секретарь ; секретарша 	 profession 
 seksardo 	 гон 	 nature 
 sekso 	 пол 	 nature 
 sekso 	 секс 	 relations 
 sekundo 	 секунда 	 time 
 sekura 	 безопасный 	 adjective 
 sekura 	 обеспеченный 	 adjective 
 sekvi 	 следовать 	 verb 
 semajnfino 	 выходных 	 time 
 semajno 	 неделя 	 time 
 senbrua 	 тихий 	 adjective 
 sendi 	 послать ; отправить 	 verb 
 senlabora 	 безработный 	 adjective 
 senpaga 	 бесплатный 	 adjective 
 sento 	 ощущение 	 communication 
 sep 	 семь 	 number 
 sepa 	 седьмой 	 number 
 sepdek 	 семьдесят 	 number 
 sereneco 	 спокойствие 	 abstract 
 serioza 	 серьёзный 	 adjective 
 serpento 	 змея 	 animal 
 seruro 	 замок 	 house 
 servado 	 услуга 	 sports 
 ses 	 шесть 	 number 
 sesa 	 шестой 	 number 
 sesdek 	 шестьдесят 	 number 
 sezono 	 времена года 	 nature 
 seĝo 	 стул 	 house 
 sidi 	 сидеть 	 verb 
 signifoplena 	 важный 	 adjective 
 silko 	 шёлк ; шелк 	 material 
 simila 	 подобный 	 adjective 
 simio 	 обезьяна 	 animal 
 simpla 	 простой 	 adjective 
 sincera 	 искренний 	 adjective 
 sinuo 	 povorod 	 transport 
 sistemo 	 система 	 linguistics 
 situacio 	 ситуация 	 abstract 
 skribi 	 писать 	 verb 
 skribo 	 почерк 	 linguistics 
 skribotablo 	 письменный стол 	 house 
 sociala 	 общественный 	 adjective 
 socio 	 общество 	 society 
 soifa 	 жаждущий 	 adjective 
 sola 	 единственный 	 adjective 
 sola 	 одинокий 	 adjective 
 soldato 	 солдат 	 profession 
 sole 	 сам 	 adverb 
 somero 	 лето 	 nature 
 sono 	 звук 	 abstract 
 sono 	 звук 	 nature 
 sonorilo 	 колокол 	 object 
 spaco 	 пространство 	 mathematics 
 speciala 	 особенный 	 adjective 
 speciale 	 особенно 	 adverb 
 specifa 	 специфический 	 adjective 
 speco 	 вид 	 abstract 
 speco 	 тип 	 abstract 
 spegulo 	 зеркало 	 house 
 spermo 	 зерно ; семя 	 food 
 sperto 	 опыт 	 society 
 spertulo 	 специалист 	 profession 
 stacio 	 станция 	 society 
 stampilo 	 печать ;штемпель 	 object 
 stari 	 стоять 	 verb 
 stato 	 состояние 	 mathematics 
 stilo 	 стиль 	 art 
 stiri 	 водить 	 verb 
 stomako 	 желудок 	 anatomy 
 strando 	 пляж 	 nature 
 stranga 	 странный 	 adjective 
 strato 	 улица 	 city 
 streko 	 черта ; линия 	 mathematics 
 strikta 	 тесный 	 adjective 
 strukturo 	 структура 	 linguistics 
 studi 	 изучать 	 verb 
 stulta 	 глупый 	 adjective 
 stulta 	 глупый 	 adjective 
 sub 	 нижний 	 adjective 
 suben 	 понизу 	 adjective 
 subita 	 неожиданный 	 adjective 
 subite 	 вдруг 	 adverb 
 subjekto 	 сюжет ; тема 	 linguistics 
 substituo 	 замена 	 abstract 
 subteni 	 поддерживать 	 verb 
 sudo 	 юг 	 logistics 
 suferi 	 терпеть 	 verb 
 suficxe 	 довольно 	 adverb 
 sukcesa 	 успешный 	 adjective 
 sukceso 	 успех 	 society 
 sukero 	 сахар 	 food 
 sumo 	 итог ; сумма 	 mathematics 
 suno 	 солнце 	 nature 
 super 	 над 	 adverb 
 superbazaro 	 супермаркет ; универсам 	 city 
 superi 	 преодолеть 	 verb 
 supo 	 суп 	 food 
 supozi 	 предполагать 	 verb 
 supren 	 вверх 	 adverb 
 supro 	 верхушка 	 abstract 
 sur 	 включённый 	 adjective 
 surfaco 	 поверхность 	 mathematics 
 surprizi 	 удивить 	 verb 
 surprizo 	 сюрприз 	 abstract 
 suturero 	 стежок 	 medicine 
 sxargajxo 	 заряд 	 nature 
 sxargxi 	 зарядить 	 verb 
 sxia 	 её 	 pronoun 
 sxlosi 	 замкнуть 	 verb 
 sxranko 	 шкаф 	 house 
 sxteli 	 красть ; воровать 	 verb 
 sxtofo 	 ткань 	 material 
 sxtupo 	 ступень 	 house 
 tabelo 	 таблица 	 object 
 tablo 	 стол 	 house 
 tagmanĝo 	 обед 	 food 
 tago 	 день 	 nature 
 taksi 	 оценивать 	 verb 
 taksi 	 оценить 	 verb 
 tapiŝo 	 ковёр 	 house 
 tasko 	 дело ; труда ; работа 	 business 
 tasko 	 проект 	 abstract 
 taso 	 чашка 	 food 
 teamo 	 команда 	 society 
 teatro 	 театр 	 city 
 teda 	 нудный 	 adjective 
 tegmento 	 крыша 	 house 
 teknologio 	 технология 	 society 
 telefoncentralo 	 коммутатор 	 society 
 telero 	 тарелка 	 food 
 tempo 	 время 	 physics 
 tendenco 	 тенденция 	 abstract 
 tenebra 	 тёмный 	 adjective 
 teni 	 держать 	 verb 
 teniso 	 теннис 	 sports 
 teo 	 чай 	 food 
 teorio 	 теория 	 education 
 tero 	 основание ; мотив 	 communication 
 tero 	 почва ; земля 	 material 
 terpomo 	 картофелина 	 food 
 testamento 	 завещание 	 society 
 testi 	 испытать 	 verb 
 tia 	 такой 	 adverb 
 tiam 	 потом ; после 	 adverb 
 tie 	 там 	 adverb 
 tiel 	 так ; таким образом 	 adverb 
 tigo 	 стебель 	 nature 
 timi 	 бояться 	 verb 
 timo 	 страх 	 relations 
 tiri 	 тянуть 	 verb 
 tirkesto 	 ящик 	 house 
 titoli 	 назвать 	 verb 
