# French-Russian translations created from the Universal dictionary at 2011-08-27T09:41:06-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 Англия ; Великобритания 	 country 
 grand 	 крупный ; большой 	 adjective 
 grand-père 	 дедушка 	 family 
 gras 	 жир 	 material 
 gratuit 	 бесплатный 	 adjective 
 grave 	 серьёзный 	 adjective 
 gris 	 серый 	 adjective 
 gris 	 серый 	 color 
 gros 	 жирный 	 adjective 
 gros 	 толстый 	 adjective 
 grossier 	 грубый 	 adjective 
 groupe 	 группа 	 abstract 
 guerre 	 война 	 society 
 guitare 	 гитара 	 object 
 gâteau 	 сладкое ; пирожное 	 food 
 gène 	 ген 	 anatomy 
 général 	 всеобщий ; общий 	 adjective 
 général 	 генерал 	 profession 
 généralement 	 обычно 	 adverb 
 habile 	 разумный ; интеллигентный 	 adjective 
 habituel 	 регулярный 	 adjective 
 haine 	 ненависть 	 relations 
 haut 	 вверх 	 adverb 
 hauteur 	 высота 	 abstract 
 herbe 	 трава 	 nature 
 heure 	 час 	 time 
 heureux 	 счастливый 	 adjective 
 hindi 	 хинди 	 language 
 histoire 	 история 	 society 
 hiver 	 зима 	 nature 
 homme 	 лицо ; человек 	 family 
 homme 	 мужчина ; человек 	 family 
 honorer 	 учитывать 	 verb 
 horloge 	 часы 	 device 
 huile 	 масло 	 material 
 huit 	 восемь 	 number 
 huitieme 	 восьмой 	 number 
 humain 	 гуманный 	 adjective 
 humidité 	 влажность 	 nature 
 humour 	 юмор 	 communication 
 hôpital 	 больница 	 city 
 hôte 	 гость 	 travelling 
 hôtel 	 гостиница ; отель 	 city 
 ici 	 здесь ; тут 	 adverb 
 ici 	 сюда 	 adverb 
 identifier 	 опознать 	 verb 
 il y a 	 перед 	 adjective 
 ils 	 они 	 pronoun 
 image 	 изображение 	 art 
 image 	 имидж 	 art 
 imiter 	 подражать 	 verb 
 immeuble 	 здание 	 city 
 immédiatement 	 немедленно 	 adverb 
 impatient 	 нетерпеливый 	 adjective 
 impliquer 	 включать 	 verb 
 important 	 важный 	 adjective 
 important 	 важный 	 adjective 
 imprimer 	 напечатать 	 verb 
 indigent 	 бедный 	 adjective 
 indiquer 	 сигнализировать 	 verb 
 individu 	 индивидуум 	 society 
 individuel 	 единочный 	 adjective 
 industrie 	 промышленность 	 society 
 industriel 	 промышленный ; индустриальный 	 adjective 
 infirmière 	 медсестра ; няня 	 profession 
 information 	 сведениe ; информация 	 communication 
 information 	 сведениe ; информация 	 communication 
 inhabituel 	 необыкновенный ; необычный 	 adjective 
 insecte 	 насекомые 	 animal 
 instant 	 момент ; мгновение 	 mathematics 
 institution 	 учреждение 	 society 
 instrument 	 инструмент ; орудие 	 device 
 intensifier 	 увеличить 	 verb 
 international 	 международный 	 adjective 
 internet 	 интернет 	 mathematics 
 interview 	 разговор ; беседа ; диалог 	 communication 
 intituler 	 назвать 	 verb 
 intéressant 	 интересный 	 adjective 
 intérêt 	 интерес 	 communication 
 intérêt 	 процент 	 business 
 invention 	 изобретение ; измышление ; вымысел 	 art 
 investigation 	 обследование 	 abstract 
 italien 	 итальянский язык 	 language 
 jamais 	 никогда 	 adverb 
 jambe 	 нога 	 anatomy 
 janvier 	 январь 	 time 
 japonais 	 японский язык 	 language 
 jardin 	 сад 	 house 
 jaune 	 жёлтый 	 color 
 jeter 	 бросать ; кидать 	 verb 
 jeu 	 игра 	 mathematics 
 jeu 	 игра 	 sports 
 jeudi 	 четверг 	 time 
 jeune 	 молодой 	 adjective 
 joindre 	 придать 	 verb 
 joindre 	 соединить(ся) 	 verb 
 jouer 	 играть 	 verb 
 joueur 	 игрок 	 sports 
 journal 	 газета 	 object 
 journaliste 	 журналист ; газетный сотрудник 	 profession 
 journée 	 день 	 nature 
 juge 	 судья 	 profession 
 juillet 	 июль 	 time 
 juin 	 июнь 	 time 
 jupe 	 юбка 	 clothes 
 jusqu'à 	 до 	 conjunction 
 la 	 ''not used'' 	 article 
 labourer 	 пахать 	 verb 
 lac 	 озеро 	 nature 
 laid 	 безобразный ; некрасивый 	 adjective 
 laine 	 волна ; шерсть 	 material 
 laisser 	 оставить 	 verb 
 laisser 	 оставить 	 verb 
 laisser 	 уйти 	 verb 
 lait 	 молоко 	 food 
 lancer 	 бросание 	 sports 
 langage 	 язык 	 communication 
 langue 	 язык 	 anatomy 
 langue 	 язык 	 linguistics 
 langue 	 язык 	 linguistics 
 large 	 широкий 	 adjective 
 laver 	 вымыть 	 verb 
 le 	 его 	 pronoun 
 le long de 	 вдоль 	 adverb 
 le moins 	 наименее 	 adverb 
 lent 	 медленный 	 adjective 
 lentement 	 медленно 	 adverb 
 les 	 их 	 pronoun 
 lettre 	 буква 	 linguistics 
 lettre 	 письмо 	 object 
 leur 	 их 	 pronoun 
 lever 	 поднять 	 verb 
 libre 	 свободный 	 adjective 
 licencier 	 сократить 	 verb 
 lieu 	 место 	 abstract 
 ligne 	 черта ; линия 	 mathematics 
 limite 	 граница ; лимит 	 mathematics 
 lion 	 лев 	 animal 
 liquide 	 жидкий 	 adjective 
 liquide 	 жидкость 	 nature 
 lire 	 читать 	 verb 
 lissé 	 гладкий 	 adjective 
 liste 	 перечень 	 abstract 
 lit 	 кровать ; постель 	 house 
 livre 	 книга 	 object 
 local 	 местный 	 adjective 
 loi 	 закон 	 society 
 loin 	 далёкий 	 adjective 
 long 	 длинный 	 adjective 
 lourd 	 трудный 	 adjective 
 lumière 	 свет 	 nature 
 lundi 	 понедельник 	 time 
 lune 	 месяц 	 nature 
 lutte 	 борьба 	 abstract 
 lutter 	 драться 	 verb 
 l'un et l'autre 	 обе 	 adjective 
 là 	 там 	 adverb 
 lèvre 	 губа 	 anatomy 
 légal 	 законный 	 adjective 
 léger 	 лёгкий 	 adjective 
 machine 	 станок 	 device 
 mademoiselle 	 девушка ; девочка 	 family 
 maigre 	 нежирный 	 adjective 
 maigre 	 узкий 	 adjective 
 main 	 рука 	 anatomy 
 maintenant 	 сейчас 	 time 
 maison 	 дом 	 house 
 maison 	 дом 	 house 
 maison 	 фирма ; торговый дом 	 business 
 majeur 	 главный 	 adjective 
 majeur 	 главный 	 adjective 
 majorité 	 большинство 	 abstract 
 majuscule 	 заглавная буква 	 linguistics 
 mal 	 неправильный 	 adjective 
 malade 	 больной 	 adjective 
 maladie 	 болезнь 	 medicine 
 maman 	 мамочка 	 family 
 manger 	 есть 	 verb 
 manifestement 	 очевидно 	 adverb 
 manière 	 способ 	 abstract 
 manière 	 способ ; метод ; стиль 	 mathematics 
 manoeuvrer 	 управлять 	 verb 
 manquer 	 запустить 	 verb 
 manquer 	 промахнуться 	 verb 
 manquer 	 упустить 	 verb 
 manteau 	 пальто ; пиджак 	 clothes 
 marche 	 ступень 	 house 
 marcher 	 идти 	 verb 
 marché 	 рынок ; базар 	 business 
 marché 	 сделка 	 business 
 mari 	 муж 	 family 
 mariage 	 брак 	 family 
 mariage 	 брак 	 family 
 mariage 	 брак 	 society 
 marin 	 матрос ; моряк 	 profession 
 marié 	 женатый 	 adjective 
 marque 	 марка 	 abstract 
 marque 	 марка 	 abstract 
 marron 	 коричневый 	 color 
 marteau 	 молоток 	 object 
 masse 	 количество 	 physics 
 masse 	 масса 	 physics 
 massue 	 дубинка 	 object 
 matin 	 утро 	 time 
 matière 	 вещество 	 material 
 matériau 	 материал 	 material 
 matériel 	 материальный 	 adjective 
 mauvais 	 плохой 	 adjective 
 maître 	 учитель 	 profession 
 maîtrise 	 проверка 	 abstract 
 me 	 меня 	 pronoun 
 meilleur 	 лучший 	 adjective 
 membre 	 член 	 society 
 mensonge 	 ложь 	 communication 
 menstruation 	 менструация 	 medicine 
 mentir 	 лгать 	 verb 
 menton 	 подбородок 	 anatomy 
 menu 	 меню 	 object 
 mer 	 море 	 nature 
 mercredi 	 среда 	 time 
 mesurage 	 измерение 	 art 
 mesure 	 мероприятия 	 abstract 
 mesurer 	 мерить 	 verb 
 mettre 	 носить 	 verb 
 mieux 	 лучше 	 adverb 
 mieux 	 лучший 	 adjective 
 milieu 	 окружение 	 nature 
 milieu 	 середина ; средняя часть 	 mathematics 
 milieu 	 среднее 	 mathematics 
 militaire 	 военный 	 adjective 
 militaire 	 солдат 	 profession 
 milk-shake 	 коктейль 	 food 
 mille 	 тысяча 	 number 
 million 	 миллион 	 number 
 mine 	 шахта 	 object 
 ministre 	 министр 	 profession 
 minuit 	 полночь 	 time 
 minuscule 	 небольшой 	 adjective 
 minute 	 минута 	 time 
 miroir 	 зеркало 	 house 
 mise 	 одежда ; платье 	 clothes 
 misérable 	 скверный 	 adjective 
 mobilier 	 мебель 	 house 
 mode 	 мода 	 abstract 
 moderne 	 современный 	 adjective 
 moderne 	 современный 	 adjective 
 modeste 	 малый 	 adjective 
 modèle 	 образец 	 object 
 moins 	 меньший 	 adjective 
 mois 	 месяц 	 time 
 mois 	 месяц 	 transport 
 moitié 	 половина 	 mathematics 
 moment 	 момент ; миг 	 time 
 mon 	 мой 	 pronoun 
 monde 	 свет ; мир 	 nature 
 monnaie 	 мелочь 	 business 
 montagne 	 гора 	 nature 
 montant 	 итог ; сумма 	 mathematics 
 montre 	 часы 	 object 
 montrer 	 показать 	 verb 
 morceau 	 кусок 	 abstract 
 morceau 	 кусок 	 object 
 mordre 	 куснуть 	 verb 
 morsure 	 укус 	 medicine 
 mort 	 покойник 	 society 
 mort 	 смерть 	 nature 
 mot 	 слово 	 linguistics 
 moteur 	 двигатель 	 device 
 mouche 	 муха 	 animal 
 mouiller 	 намочить 	 verb 
 mouillé 	 мокрый 	 adjective 
 mourir 	 умереть 	 verb 
 mouton 	 овца 	 animal 
 mouvement 	 движение 	 physics 
 mouvement 	 движение 	 physics 
 mur 	 стена 	 house 
 muscle 	 мускул ; мышца 	 anatomy 
 musicien 	 музыкант 	 profession 
 musique 	 музыка 	 art 
 musée 	 музей 	 city 
 mâle 	 мужественный 	 adjective 
 mâle 	 мужской 	 adjective 
 mâle 	 самец 	 society 
 médical 	 лечебный 	 adjective 
 mémoire 	 воспоминание 	 communication 
 mémoire 	 память 	 communication 
 mépriser 	 ненавидеть 	 verb 
 métal 	 металл 	 material 
 métallique 	 металлический 	 adjective 
 méthode 	 процесс ; процедура 	 mathematics 
 méthode 	 способ ; метод 	 mathematics 
 métro 	 метро 	 transport 
 même 	 одинаковый 	 adjective 
 naissance 	 рождение 	 nature 
 nation 	 народ ; нация 	 society 
 national 	 национальный ; народный 	 adjective 
 national 	 национальный ; народный 	 adjective 
 nature 	 природа 	 nature 
 naturel 	 натуральный 	 adjective 
 navire 	 судно ; корабль 	 transport 
 neige 	 снег 	 nature 
 neige 	 снег 	 nature 
 neiger 	 идёт снег 	 verb 
 nerf 	 нерв 	 anatomy 
 neuf 	 девять 	 number 
 neuf 	 новый 	 adjective 
 neuvième 	 девятый 	 number 
 nez 	 нос 	 anatomy 
 niveau 	 уровень 	 linguistics 
 noeud 	 узел 	 object 
 noir 	 чёрный 	 adjective 
 nom 	 имя 	 linguistics 
 nombre 	 количество ; число 	 linguistics 
 nommer 	 назвать 	 verb 
 non 	 нет 	 abstract 
 non 	 нет 	 adverb 
 nonobstant 	 несмотря 	 preposition 
 nord 	 север 	 logistics 
 nord 	 северный 	 adjective 
 normal 	 нормальный 	 adjective 
 normal 	 стандартный 	 adjective 
 normalement 	 обычно 	 adverb 
 note 	 заметка 	 communication 
 note 	 нота 	 art 
 note 	 отметка 	 education 
 nourriture 	 блюдо ; питание 	 food 
 nous 	 мы 	 pronoun 
 nous 	 нас 	 pronoun 
 nous 	 наш 	 pronoun 
 nouvelles 	 новость 	 society 
 novembre 	 ноябрь 	 time 
 nuage 	 облако 	 nature 
 nuit 	 ночь 	 nature 
 numéro 	 номер ; выпуск 	 mathematics 
 nécessaire 	 необходимый 	 adjective 
 négociant 	 бизнесмен 	 profession 
 objection 	 протест 	 communication 
 obtenir 	 получать 	 verb 
 occasion 	 возможность 	 abstract 
 occupation 	 дело 	 abstract 
 occupation 	 профессия ; работа 	 business 
 octobre 	 октябрь 	 time 
 odeur 	 запах 	 nature 
 oeil 	 глаз 	 anatomy 
 oeuf 	 яйцо 	 food 
 oeuvre 	 дело 	 abstract 
 offre 	 предложение 	 abstract 
 offrir 	 предложить 	 verb 
 oiseau 	 птица 	 animal 
 ongle 	 ноготь 	 anatomy 
 onze 	 одиннадцать 	 number 
 onzième 	 одиннадцатый 	 number 
 opposé 	 противоположный 	 adjective 
 opération 	 операция 	 abstract 
 opération 	 операция 	 medicine 
 or 	 золото 	 material 
 orange 	 апельсин 	 food 
 orange 	 оранжевый 	 color 
 orchestre 	 оркестр 	 art 
 orchestre 	 оркестр 	 art 
 ordinateur 	 компьютер 	 device 
 ordonner 	 приказать 	 verb 
 ordre 	 орден 	 society 
 ordre 	 порядок 	 linguistics 
 ordre 	 приказ ; команда 	 society 
 oreille 	 ручка 	 object 
 oreille 	 ухо 	 anatomy 
 organisation 	 организация 	 society 
 organisation 	 организация 	 society 
 organiser 	 наметить 	 verb 
 original 	 исходный ; оригинальный 	 adjective 
 original 	 оригинал 	 object 
 ornement 	 декорация 	 object 
 orteil 	 палец на ноге 	 anatomy 
 orthographe 	 правописание ; орфография 	 linguistics 
 os 	 кость 	 anatomy 
 ou 	 или 	 conjunction 
 oublier 	 забыть ; забывать 	 verb 
 ouest 	 запад 	 logistics 
 ouest 	 западный 	 adjective 
 oui 	 да 	 abstract 
 ours 	 медведь 	 animal 
 ouvert 	 открытый 	 adjective 
 ouvert 	 открытый 	 adjective 
 ouvrir 	 открыть 	 verb 
 page 	 страница 	 object 
 paiement 	 плата ; платёж ; уплата 	 business 
 pain 	 хлеб 	 food 
 pair 	 чётный 	 adjective 
 paix 	 мир 	 abstract 
 panier 	 корзина 	 object 
 panneau 	 доска 	 object 
 papa 	 папа ; отец 	 family 
 papier 	 бумага 	 material 
 paquet 	 пакет 	 object 
 par 	 мимо 	 adverb 
 parallèle 	 параллельный 	 adjective 
 paraître 	 казаться 	 verb 
 parc 	 парк ; сад 	 city 
 pardonner 	 простить 	 verb 
 parent 	 родитель 	 family 
 parfois 	 иногда 	 adverb 
 parler 	 говорить 	 verb 
 partage 	 разделение 	 mathematics 
 partager 	 разделять 	 verb 
 particulier 	 определённый 	 adjective 
 particulièrement 	 особенно 	 adverb 
 partie 	 вечеринка 	 society 
 partie 	 матч 	 sports 
 partie 	 часть 	 abstract 
 partie 	 часть 	 society 
 pas 	 шаг ; поступь 	 mathematics 
 passager 	 пассажир 	 transport 
 passeport 	 паспорт 	 object 
 passer 	 проходить 	 verb 
 passion 	 любовь 	 relations 
 passé 	 прошлый 	 adjective 
 passée 	 за 	 adverb 
 patient 	 пациент ; больной 	 medicine 
 patient 	 терпеливый 	 adjective 
 patron 	 модель ; макет 	 object 
 pause 	 перерыв ; пауза 	 time 
 pauvre 	 жалкий ; жалобный 	 adjective 
 payer 	 платить 	 verb 
 pays 	 страна 	 society 
 peau 	 кожа 	 anatomy 
 peine 	 старание 	 abstract 
 peinture 	 краска 	 art 
 peler 	 чистить 	 verb 
 pellicule 	 фильм 	 object 
 pellicule 	 фильм ; кинокартина 	 art 
 pendant 	 в течение 	 preposition 
 pensée 	 мысль 	 communication 
 pente 	 склон 	 mathematics 
 perdre 	 проиграть 	 verb 
 perdre 	 терять 	 verb 
 permettre 	 разрешить 	 verb 
 personne 	 лицо ; человек 	 family 
 personnel 	 личный 	 adjective 
 personnel 	 персонал 	 society 
 perte 	 утрата ; пропадание ; урон 	 business 
 peser 	 взвешивать(ся) 	 verb 
 petit 	 маленький 	 adjective 
 petit 	 малый 	 adjective 
 peu 	 немного ; мало 	 adjective 
 peu 	 немного ; мало 	 adverb 
 peuple 	 общественность 	 society 
 peur 	 страх 	 relations 
 peut-être 	 может быть 	 adverb 
 photographe 	 фотограф 	 profession 
 phrase 	 предложение 	 linguistics 
 physique 	 телесный ; физический 	 adjective 
 physique 	 физический 	 adjective 
 pied 	 подошва 	 anatomy 
 pilote 	 пилот 	 profession 
 pivot 	 цапфа 	 object 
 pièce 	 комната 	 house 
 placard 	 шкаф 	 house 
 place 	 кресло 	 house 
 place 	 место 	 abstract 
 plage 	 пляж 	 nature 
 plaider 	 аргументировать 	 verb 
 plaine 	 равнина 	 nature 
 plaisir 	 удовольствие 	 abstract 
 plan 	 план 	 abstract 
 plan 	 плоский 	 adjective 
 plante 	 растение 	 house 
 plein 	 полный 	 adjective 
 pleurer 	 плакать 	 verb 
 pleuvoir 	 дождить ; идёт дождь 	 verb 
 pli 	 загиб 	 object 
 plomb 	 свинец 	 material 
 pluie 	 дождь 	 nature 
 pluie 	 дождь 	 nature 
 plume 	 перо 	 object 
 plume 	 ручка 	 object 
 plus 	 более ; болше 	 adjective 
 plus 	 дальше 	 adjective 
 plutôt 	 лучше 	 adverb 
 poche 	 мешок 	 object 
 poids 	 вес 	 physics 
 point 	 стежок 	 medicine 
 point 	 точка 	 linguistics 
 poisson 	 рыба 	 animal 
 poitrine 	 грудная клетка ; грудь 	 anatomy 
 poitrine 	 грудь 	 anatomy 
 police 	 полиция 	 society 
 policier 	 милиционер 	 profession 
 polir 	 чистить 	 verb 
 politicien 	 политик 	 profession 
 politique 	 политика 	 society 
 politique 	 политический 	 adjective 
 pomme 	 яблоко 	 food 
 pomme de terre 	 картофелина 	 food 
 pompe 	 насос 	 device 
 pomper 	 качать 	 verb 
 pondre 	 класть 	 verb 
 pont 	 мост 	 object 
 populaire 	 популярный 	 adjective 
 populaire 	 популярный 	 adjective 
 population 	 население 	 society 
 porc 	 свинья 	 animal 
 port 	 почтовая марка 	 object 
 porte 	 дверь ; створка 	 house 
 porter 	 нести 	 verb 
 porter 	 перенести 	 verb 
 poser 	 сидеть 	 verb 
 possesseur 	 собственник ; владелец ; обладатель 	 business 
 possible 	 вероятный 	 adjective 
 possible 	 возможный 	 adjective 
 poste 	 позиция ; положение 	 linguistics 
 poste 	 почта 	 communication 
 poste 	 станция 	 society 
 poster 	 послать ; отправить 	 verb 
 pouce 	 большой палец 	 anatomy 
 pourcentage 	 процент 	 mathematics 
 pourquoi 	 почему 	 adverb 
 pousser 	 побудить 	 verb 
 pousser 	 толкнуть 	 verb 
 poussière 	 порошок 	 material 
 poussière 	 пыль 	 material 
 poème 	 стихотворение ; поэма 	 art 
 poésie 	 поэзия 	 art 
 premier 	 передний 	 adjective 
 prendre 	 схватить 	 verb 
 presque 	 почти 	 adverb 
 presser 	 сжать ; нажать 	 verb 
 pression 	 давление 	 nature 
 principe 	 правило 	 linguistics 
 printemps 	 весна 	 nature 
 prison 	 тюрьма ; заточение 	 city 
 privé 	 скромный 	 adjective 
 prix 	 оценка 	 transport 
 prix 	 стоимость ; цена 	 business 
 prix 	 такса 	 business 
 prix 	 цена 	 transport 
 probe 	 честный 	 adjective 
 problème 	 проблема 	 abstract 
 problème 	 проблема 	 mathematics 
 processus 	 процесс 	 nature 
 proche 	 близкий ; недалёкий 	 adjective 
 procéder 	 относиться 	 verb 
 production 	 производство 	 abstract 
 produire 	 изготовить 	 verb 
 produit 	 продукт 	 object 
 professionnel 	 профессионал 	 profession 
 professionnel 	 профессиональный 	 adjective 
 profit 	 нажива ; получать доход 	 verb 
 profit 	 польза 	 abstract 
 profiter 	 преуспевать 	 verb 
 programme 	 программа 	 abstract 
 projet 	 проект 	 abstract 
 projet 	 проект 	 abstract 
 projeter 	 думать 	 verb 
 promulguer 	 издать 	 verb 
 prononciation 	 произношение 	 linguistics 
 proposition 	 предложение 	 abstract 
 proposition 	 проект 	 abstract 
 propre 	 свой 	 adjective 
 propre 	 чистый 	 adjective 
 propriété 	 имущество 	 society 
 propriété 	 способность 	 abstract 
 protester 	 возражать ; протестовать 	 verb 
 prototype 	 образец 	 linguistics 
 prouver 	 доказать 	 verb 
 précédent 	 предыдущий 	 adjective 
 prématuré 	 ранний ; скорый 	 adjective 
 préparer 	 приготовить 	 verb 
 présent 	 настоящее 	 time 
 présent 	 подарок 	 object 
 présent 	 современный ; настойащий 	 adjective 
 présenter 	 представить 	 verb 
 présenter 	 привести 	 verb 
 président 	 президент 	 profession 
 prêt 	 готовый ; приготовленный 	 adjective 
 public 	 общественный 	 travelling 
 puissant 	 крепкий 	 adjective 
 puits 	 колодец 	 object 
 période 	 период 	 time 
 pétrole 	 нефть 	 material 
 qualité 	 качество 	 abstract 
 quantité 	 количество 	 abstract 
 quarante 	 сорок 	 number 
 quatorze 	 четырнадцать 	 number 
 quatre 	 четыре 	 number 
 quatre-vingt-dix 	 девяносто 	 number 
 quatre-vingts 	 восемьдесят 	 number 
 quatrième 	 четвёртый 	 number 
 que 	 кого 	 pronoun 
 que 	 чем 	 conjunction 
 quel 	 какой 	 pronoun 
 quelque 	 несколько 	 adjective 
 question 	 вопрос 	 linguistics 
 question 	 проблема 	 communication 
 questionnaire 	 формуляр 	 society 
 queue 	 хвост 	 anatomy 
 qui 	 кто 	 pronoun 
 quinze 	 пятнадцать 	 number 
 quoi 	 который 	 pronoun 
 racine 	 корень 	 mathematics 
 racine 	 корень 	 nature 
 rail 	 рельс 	 transport 
 raison 	 основание ; мотив 	 communication 
 raison 	 причина 	 communication 
 raisonner 	 рассуждать 	 verb 
 rapide 	 быстрый 	 logistics 
 rappeler 	 помнить 	 verb 
 rapport 	 рапорт 	 abstract 
 rayon 	 секция ; участок 	 mathematics 
 recevoir 	 получить 	 verb 
 recherche 	 исследование 	 abstract 
 recherche 	 исследовать 	 verb 
 record 	 рекорд 	 abstract 
 recours 	 требование 	 society 
 refuser 	 отказаться 	 verb 
 regard 	 вид ; взгляд 	 communication 
 regarder 	 смотреть 	 verb 
 regarder 	 смотреть 	 verb 
 relation 	 родство 	 society 
 relation 	 соотношение 	 communication 
 relever 	 приправить 	 verb 
 religion 	 религия 	 society 
 remercier 	 благодарить 	 verb 
 remettre 	 вручить 	 verb 
 remettre 	 передавать 	 verb 
 remplacer 	 заменить 	 verb 
 rencontre 	 встреча 	 communication 
 rencontrer 	 встречать(ся) 	 verb 
 rendez-vous 	 встреча ; свидание 	 relations 
 rendre 	 вернуть 	 verb 
 rendre 	 делать 	 verb 
 repas 	 блюдо ; еда 	 food 
 repos 	 отдых 	 abstract 
 reposer 	 лежать 	 verb 
 représentant 	 заместитель 	 profession 
 représenter 	 символизировать 	 verb 
 responsabilité 	 ответственность 	 abstract 
 responsable 	 ответственный 	 adjective 
 ressort 	 пружина 	 object 
 restaurant 	 ресторан 	 city 
 reste 	 остаток 	 business 
 rester 	 остаться 	 verb 
 retour 	 возврат 	 abstract 
 revenu 	 оклад ; заработок ; плата 	 business 
 revue 	 журнал 	 object 
 rhume 	 простуда ; насморк 	 medicine 
 rideau 	 занавеска 	 house 
 rien 	 нуль ; ничто ; ничего 	 mathematics 
 rigide 	 жёсткий ; негнущийся 	 adjective 
 rire 	 смеяться 	 verb 
 risquer 	 рисковать 	 verb 
 rive 	 берег 	 nature 
 riz 	 рис 	 food 
 riz 	 рис 	 food 
 roi 	 король 	 society 
 rompre 	 разбить 	 verb 
 rond 	 круглый 	 adjective 
 rose 	 розоватый ; розовый 	 color 
 roue 	 колесо 	 object 
 rouge 	 красный 	 color 
 rouleau 	 круг 	 object 
 route 	 улица 	 city 
 royal 	 королевский 	 adjective 
 ruse 	 трюк 	 abstract 
 russe 	 русский язык 	 language 
 rythme 	 ритм 	 art 
 règlement 	 правило ; предписание 	 linguistics 
 réaction 	 реакция 	 abstract 
 réaliser 	 достигать 	 verb 
 récemment 	 недавно 	 adverb 
 récent 	 недавний 	 adjective 
 récompense 	 оплата 	 society 
 récréation 	 пауза ; перерыв 	 abstract 
 réduire 	 сократить 	 verb 
 réellement 	 действительно 	 adverb 
 réfléchir 	 думать 	 verb 
 réfléchir 	 отражать 	 verb 
 région 	 район 	 nature 
 répondre 	 отвечать ; ответить 	 verb 
 réponse 	 ответ 	 communication 
 république 	 демократия ; республика 	 society 
 résultat 	 результат 	 mathematics 
 rétention 	 заключать в себе ; охватывать 	 verb 
 révéler 	 разоблачить ; открыть 	 verb 
 sa 	 его 	 pronoun 
 sa 	 его 	 pronoun 
 sable 	 песок 	 material 
 sac 	 сумка ; сумочка 	 clothes 
 sage 	 мудрый 	 adjective 
 sain 	 здоровый 	 adjective 
 saisir 	 взять ; брать 	 verb 
 saisir 	 понимать 	 verb 
 saison 	 времена года 	 nature 
 salade 	 салат 	 food 
 sale 	 грязный 	 adjective 
 sale 	 грязный 	 adjective 
 saler 	 солить 	 verb 
 salle de bains 	 ванная 	 house 
 salubre 	 здоровый 	 adjective 
 salut 	 привет 	 linguistics 
 salve 	 извержение 	 abstract 
 samedi 	 суббота 	 time 
 sandwich 	 сандвич ; бутерброд 	 food 
 sang 	 кровь 	 anatomy 
 santé 	 здоровье 	 abstract 
 santé 	 здоровье 	 medicine 
 sauce 	 соус 	 food 
 saut 	 скачок ; прыжок 	 abstract 
 sauter 	 прыгать ; скакать 	 verb 
 savoir 	 знать 	 verb 
 savon 	 мыло 	 material 
 savonner 	 намылить 	 verb 
 science 	 наука 	 society 
 scientifique 	 учёный 	 profession 
 scène 	 сцена 	 object 
 se 	 себе 	 pronoun 
 se 	 себя 	 pronoun 
 se disputer 	 спорить 	 verb 
 se reposer 	 отдыхать 	 verb 
 sec 	 сухой 	 adjective 
 seconde 	 секунда 	 time 
 secousse 	 удар 	 transport 
 secret 	 секрет ; тайна 	 communication 
 secrétaire 	 секретарь ; секретарша 	 profession 
 secteur 	 секция ; отделение 	 mathematics 
 section 	 участок ; область ; район 	 art 
 seize 	 шестнадцать 	 number 
 sel 	 соль 	 food 
 semaine 	 неделя 	 time 
 semblable 	 подобный 	 adjective 
 sentiment 	 ощущение 	 communication 
 sentinelle 	 сторож 	 profession 
 sentir 	 вонять 	 verb 
 sentir 	 чувствовать 	 verb 
 sentir 	 чуять 	 verb 
 sept 	 семь 	 number 
 septième 	 седьмой 	 number 
 serpent 	 змея 	 animal 
 serrure 	 замок 	 house 
 serré 	 тесный 	 adjective 
 service 	 услуга 	 sports 
 servir 	 служить 	 verb 
 serviteur 	 слуга 	 profession 
 seul 	 единственный 	 adjective 
 seul 	 сам 	 adverb 
 seulement 	 просто ; только 	 adverb 
 sexe 	 пол 	 nature 
 sexe 	 секс 	 relations 
 show 	 шоу 	 abstract 
 si 	 если 	 conjunction 
 si 	 либо 	 conjunction 
 signaler 	 сообщать 	 verb 
 signe 	 знак 	 linguistics 
 silence 	 тишина 	 abstract 
 simple 	 простой 	 adjective 
 simple 	 холостой ; незамужняя 	 adjective 
 sincère 	 искренний 	 adjective 
 singe 	 обезьяна 	 animal 
