# English-Esperanto translations created from the Universal dictionary at 2011-05-28T05:41:05-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 aprilo 	 time 
 fall ; autumn 	 aŭtuno 	 nature 
 false ; mistaken 	 erara 	 adjective 
 family ; family unit 	 familio 	 family 
 family ; household ; house ; home ; menage 	 familio 	 family 
 far 	 fora 	 adjective 
 farm 	 farmbieno 	 nature 
 fast 	 rapida 	 logistics 
 fat 	 dika 	 adjective 
 fat 	 graso 	 material 
 father ; male parent ; begetter 	 patro 	 family 
 fatty ; fat 	 grasa 	 adjective 
 fear 	 timi 	 verb 
 fear ; fearfulness ; fright 	 timo 	 relations 
 feather ; plume ; plumage 	 plumo 	 object 
 feature ; characteristic 	 atributo 	 abstract 
 feel ; experience 	 travivi 	 verb 
 feel ; sense 	 palpi 	 verb 
 feeling 	 sento 	 communication 
 female 	 ina 	 adjective 
 female ; female person 	 virino 	 society 
 few 	 malmulta 	 adjective 
 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 bagatela 	 adjective 
 field 	 kampo 	 nature 
 fifth ; 5th 	 kvina 	 number 
 fifty ; 50 ; l 	 kvindek 	 number 
 fight ; fighting ; combat ; scrap 	 batalado 	 abstract 
 fill ; fill up ; make full 	 plenigi 	 verb 
 find ; regain 	 trovi 	 verb 
 finger 	 fingro 	 anatomy 
 finish ; destination ; goal 	 celo 	 abstract 
 fire ; flame ; flaming 	 flamo 	 nature 
 firm ; house ; business firm 	 firmo 	 business 
 firm ; solid 	 firma 	 adjective 
 first ; firstly ; foremost ; first of all ; first off 	 unue 	 adverb 
 fiscal ; financial 	 financa 	 adjective 
 fish 	 fiŝo 	 animal 
 five ; 5 ; v 	 kvin 	 number 
 fix ; prepare ; set up ; ready ; gear up ; set 	 pretigi 	 verb 
 fixed 	 fiksita 	 adjective 
 flag 	 flago 	 object 
 flat ; level ; plane 	 plata 	 adjective 
 flight ; flying 	 flugo 	 transport 
 floor ; flooring 	 planko 	 house 
 floor ; level ; storey ; story 	 etagxo 	 house 
 flower 	 floro 	 nature 
 flush ; level ; even out ; even 	 niveli 	 verb 
 fly 	 muŝo 	 animal 
 fly ; wing 	 flugi 	 verb 
 fold ; crease ; plication ; flexure ; crimp ; bend 	 falto 	 object 
 follow 	 sekvi 	 verb 
 following ; next 	 venonta 	 adjective 
 food ; nutrient 	 nutraĵo 	 food 
 foot ; human foot ; pes 	 piedo 	 anatomy 
 football ; football game 	 piedpilko 	 sports 
 footing ; basis ; ground 	 bazo 	 mathematics 
 footstep ; pace ; step ; stride 	 pasxo 	 mathematics 
 for 	 cxar 	 conjunction 
 force ; forcefulness ; strength 	 forto 	 abstract 
 foreign ; strange 	 eksterlanda 	 adjective 
 forest ; wood ; woods 	 arbaro 	 nature 
 forget 	 forgesi 	 verb 
 forgive 	 pardoni 	 verb 
 fork 	 forko 	 food 
 form 	 formularo 	 society 
 form ; shape ; cast 	 formo 	 art 
 forty ; 40 ; xl ; twoscore 	 kvardek 	 number 
 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 antauxen 	 adverb 
 four ; 4 ; iv 	 kvar 	 number 
 fourth ; 4th ; quaternary 	 kvara 	 number 
 fourth dimension ; time 	 tempo 	 physics 
 frame 	 framo 	 object 
 free 	 libera 	 adjective 
 free ; liberate ; release ; unloose ; unloosen ; loose 	 liberigi 	 verb 
 frequently ; often ; oftentimes ; oft ; ofttimes 	 ofte 	 adverb 
 fresh 	 fresxa 	 adjective 
 friend 	 amiko 	 family 
 friendly 	 amika 	 adjective 
 front 	 antauxa 	 adjective 
 front ; front end ; forepart 	 antauxajxo 	 abstract 
 fruit 	 frukto 	 food 
 full 	 plena 	 adjective 
 full ; total 	 totala 	 adjective 
 fume ; smoke 	 fumi 	 verb 
 function ; office ; part ; role 	 funkcio 	 mathematics 
 function ; purpose ; role ; use 	 funkcio 	 linguistics 
 function ; work ; operate ; go ; run 	 labori 	 verb 
 furniture ; piece of furniture ; article of furniture 	 mebloj 	 house 
 further ; farther 	 plue 	 adjective 
 future 	 venonta 	 adjective 
 future ; hereafter ; futurity ; time to come 	 estonteco 	 time 
 gamble ; chance ; risk ; hazard ; take chances ; adventure ; run a risk ; take a chance 	 riski 	 verb 
 game 	 ludo 	 mathematics 
 game 	 ludo 	 sports 
 garage 	 garaĝo 	 transport 
 garden 	 ĝardeno 	 house 
 gate 	 pordego 	 house 
 gene ; cistron ; factor 	 geno 	 anatomy 
 general 	 gxenerala 	 adjective 
 general ; full general 	 generalo 	 profession 
 get ; acquire 	 akiri 	 verb 
 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 komenciĝi 	 verb 
 get up 	 levigxi 	 verb 
 girl ; miss ; missy ; young lady ; young woman ; fille 	 frauxlino 	 family 
 girlfriend ; girl ; lady friend 	 koramikino 	 family 
 give 	 doni 	 verb 
 glass 	 vitro 	 material 
 glass ; drinking glass 	 glaso 	 food 
 glue ; gum ; mucilage 	 gluo 	 material 
 glue ; paste 	 glui 	 verb 
 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 glueca 	 adjective 
 goal 	 golo 	 sports 
 goat ; caprine animal 	 kapro 	 animal 
 gold ; Au ; atomic number 79 	 oro 	 material 
 golf ; golf game 	 golfo 	 travelling 
 good 	 bona 	 adjective 
 good ; well 	 bona 	 adjective 
 govern ; rule 	 regi 	 verb 
 government ; authorities ; regime 	 regado 	 society 
 gradient ; slope 	 deklivo 	 mathematics 
 grass 	 herbo 	 nature 
 gray ; grayness ; grey ; greyness 	 grizo 	 color 
 great 	 granda 	 adjective 
 green ; greenish ; light-green ; dark-green 	 verda 	 color 
 grey ; gray ; greyish ; grayish 	 grizo 	 adjective 
 group ; grouping 	 grupo 	 abstract 
 grow 	 kreski 	 verb 
 guest ; invitee 	 gasto 	 travelling 
 guitar 	 gitaro 	 object 
 gun 	 pafilo 	 object 
 hair 	 haroj 	 anatomy 
 hair ; pilus 	 haro 	 anatomy 
 hammer 	 martelo 	 object 
 hand ; manus ; mitt ; paw 	 mano 	 anatomy 
 handle ; grip ; handgrip ; hold 	 anso 	 object 
 hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched 	 malriĉa 	 adjective 
 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 okazi 	 verb 
 happy 	 feliĉa 	 adjective 
 hash out ; discuss ; talk over 	 diskuti 	 verb 
 hat ; chapeau ; lid 	 ĉapelo 	 clothes 
 hate ; detest 	 malami 	 verb 
 hate ; hatred 	 malamo 	 relations 
 have ; have got ; hold 	 havi 	 verb 
 hazard ; jeopardy ; peril ; risk ; endangerment 	 risko 	 transport 
 he 	 li 	 pronoun 
 head ; caput 	 kapo 	 anatomy 
 head ; chief ; top dog 	 cxefo 	 society 
 health 	 sano 	 abstract 
 health ; wellness 	 sano 	 medicine 
 healthy ; salubrious ; good for you 	 salubra 	 adjective 
 hear 	 auxdi 	 verb 
 heart ; pump ; ticker 	 koro 	 anatomy 
 heavy 	 peza 	 adjective 
 heed ; mind ; listen 	 atenti 	 verb 
 help ; assist ; aid 	 helpi 	 verb 
 her 	 sxia 	 pronoun 
 hill 	 monteto 	 nature 
 him 	 li 	 pronoun 
 his 	 lia 	 pronoun 
 historic period ; age 	 epoko 	 time 
 history 	 historio 	 society 
 hit ; hitting ; striking 	 bato 	 abstract 
 hog ; pig ; grunter ; squealer ; Sus scrofa 	 porko 	 animal 
 hold ; take hold 	 teni 	 verb 
 hole 	 truo 	 abstract 
 home ; place 	 hejmo 	 house 
 homo ; man ; human being ; human 	 homo 	 family 
 hook ; claw 	 krocxilo 	 object 
 hope 	 esperi 	 verb 
 horse ; Equus caballus 	 cxevalo 	 animal 
 hospital ; infirmary 	 malsanulejo 	 city 
 hot 	 varma 	 adjective 
 hotel 	 hotelo 	 city 
 hotness ; heat ; high temperature 	 varmego 	 medicine 
 hour ; hr ; 60 minutes 	 horo 	 time 
 house 	 domo 	 house 
 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 malgrauxe 	 adverb 
 human 	 homa 	 adjective 
 humor ; humour ; sense of humor ; sense of humour 	 humoro 	 communication 
 hundred ; one hundred ; 100 ; c 	 cent 	 number 
 hungry 	 malsata 	 adjective 
 hurt ; injure 	 damagxi 	 verb 
 husband ; hubby ; married man 	 edzo 	 family 
 ice 	 glacio 	 nature 
 ice ; water ice 	 glacio 	 material 
 idea ; thought 	 penso 	 communication 
 identify ; place 	 identigi 	 verb 
 if 	 se 	 conjunction 
 ill ; sick 	 malsana 	 adjective 
 image 	 bildo 	 art 
 imitate ; copy ; simulate 	 imiti 	 verb 
 immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot 	 momente 	 adverb 
 imperial ; majestic ; purple ; regal ; royal 	 regxa 	 adjective 
 in ; inwards ; inward 	 en 	 adverb 
 include 	 inkluzivi 	 verb 
 income 	 enspezo 	 business 
 incorporate ; contain ; comprise 	 enhavi 	 verb 
 incorrect ; wrong 	 malgxusta 	 adjective 
 increase 	 kreski 	 verb 
 increase ; increment 	 pliigo 	 abstract 
 increase ; increment ; growth 	 kresko 	 abstract 
 individual 	 individuo 	 society 
 individual ; private 	 individua 	 adjective 
 induce ; stimulate ; cause ; have ; get ; make 	 emigi 	 verb 
 industrial 	 industria 	 adjective 
 industry ; manufacture 	 industrio 	 society 
 infinitesimal ; minute 	 eta 	 adjective 
 information ; info 	 informo 	 communication 
 injure ; wound 	 vundi 	 verb 
 ink 	 inko 	 material 
 inquiry ; enquiry ; research 	 esplorado 	 abstract 
 insect 	 insekto 	 animal 
 inside ; within 	 ene 	 adverb 
 institution ; establishment 	 institucio 	 society 
 instrument 	 instrumento 	 device 
 insurance 	 asekuro 	 business 
 intelligent 	 inteligenta 	 adjective 
 intend ; mean ; think 	 intenci 	 verb 
 interest 	 interezo 	 business 
 interest ; involvement 	 intereso 	 communication 
 interesting 	 interesa 	 adjective 
 international 	 internacia 	 adjective 
 internet ; net ; cyberspace 	 interreto 	 mathematics 
 interview 	 intervjuo 	 communication 
 into 	 en 	 preposition 
 introduce ; innovate 	 prezenti 	 verb 
 introduce ; present ; acquaint 	 prezenti 	 verb 
 iron ; Fe ; atomic number 26 	 fero 	 material 
 island 	 insulo 	 nature 
 it 	 gxin 	 pronoun 
 its 	 gxia 	 pronoun 
 jacket 	 jako 	 clothes 
 jewel ; gem ; precious stone 	 juvelo 	 object 
 job ; task ; chore 	 tasko 	 business 
 join ; bring together 	 kunligi 	 verb 
 journalist 	 ĵurnalisto 	 profession 
 journey ; journeying 	 vojagxo 	 transport 
 judge ; justice ; jurist 	 juĝisto 	 profession 
 jump ; leap ; bound ; spring 	 salti 	 verb 
 keep ; maintain ; hold 	 konservi 	 verb 
 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 esenco 	 abstract 
 key 	 klavo 	 object 
 key 	 ŝlosilo 	 house 
 kick 	 kiki 	 verb 
 kick ; boot ; kicking 	 piedbato 	 abstract 
 kill 	 mortigi 	 verb 
 kind 	 afabla 	 adjective 
 kind ; sort ; form ; variety 	 speco 	 abstract 
 king ; male monarch ; Rex 	 regxo 	 society 
 kiss ; buss ; osculation 	 kiso 	 relations 
 kitchen 	 kuirejo 	 house 
 knee ; knee joint ; human knee ; articulatio genus ; genu 	 genuo 	 anatomy 
 knife 	 tranĉilo 	 food 
 knot 	 nodo 	 object 
 know ; cognize ; cognise 	 scii 	 verb 
 lake 	 lago 	 nature 
 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 grundo 	 nature 
 land ; ground ; soil 	 tero 	 material 
 language ; linguistic communication 	 lingvo 	 communication 
 large ; big 	 granda 	 adjective 
 last 	 lasta 	 adjective 
 late ; belatedly ; tardily 	 malfrue 	 adverb 
 laugh ; express joy ; express mirth 	 ridi 	 verb 
 law 	 leĝo 	 society 
 lead ; Pb ; atomic number 82 	 plumbo 	 material 
 lead ; head 	 gvidi 	 verb 
 lead ; take ; direct ; conduct ; guide 	 konduki 	 verb 
 leader 	 estro 	 society 
 leaf ; leafage ; foliage 	 folio 	 nature 
 leap ; jump ; saltation 	 salto 	 abstract 
 learn ; larn ; acquire 	 lerni 	 verb 
 leather 	 ledo 	 material 
 leave ; leave of absence 	 forpermeso 	 society 
 left 	 lefta 	 adjective 
 leg 	 kruro 	 anatomy 
 legal 	 leĝa 	 adjective 
 let 	 permesi 	 verb 
 let ; allow ; permit 	 permesi 	 verb 
 letter ; letter of the alphabet ; alphabetic character 	 litero 	 linguistics 
 letter ; missive 	 litero 	 object 
 library 	 biblioteko 	 city 
 lie 	 kusxi 	 verb 
 lie 	 mensogi 	 verb 
 lie ; prevarication 	 mensogo 	 communication 
 life 	 vivo 	 nature 
 light 	 malpeza 	 adjective 
 light ; visible light ; visible radiation 	 lumo 	 nature 
 limit ; bound ; boundary 	 limito 	 mathematics 
 line 	 streko 	 mathematics 
 lion ; king of beasts ; Panthera leo 	 leono 	 animal 
 lip 	 lipo 	 anatomy 
 liquid 	 likva 	 adjective 
 liquid 	 likva 	 nature 
 list ; listing 	 listo 	 abstract 
 listen ; hear ; take heed 	 aŭdi 	 verb 
 little 	 malmulta 	 adverb 
 load ; charge 	 sxargxi 	 verb 
 local 	 loka 	 adjective 
 lock 	 seruro 	 house 
 lock 	 sxlosi 	 verb 
 long 	 longa 	 adjective 
 look 	 rigardi 	 verb 
 look ; appear ; seem 	 aspekti 	 verb 
 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 gardo 	 profession 
 lose 	 perdi 	 verb 
 lose 	 perdi 	 verb 
 loss 	 perdo 	 business 
 loud 	 lauxta 	 adjective 
 love 	 ami 	 verb 
 love 	 amo 	 relations 
 low 	 malalta 	 adjective 
 lucky 	 bonŝanca 	 adjective 
 lunch ; luncheon ; tiffin ; dejeuner 	 tagmanĝo 	 food 
 machine 	 aparato 	 device 
 magazine ; mag 	 revuo 	 object 
 mail ; mail service ; postal service ; post 	 poŝto 	 communication 
 mail ; post ; send 	 sendi 	 verb 
 major 	 majxora 	 adjective 
 majority ; bulk 	 plejparto 	 abstract 
 make ; create 	 fari 	 verb 
 make ; do 	 fari 	 verb 
 male 	 maskla 	 adjective 
 male ; male person 	 masklo 	 society 
 male child ; boy 	 knabo 	 family 
 man ; adult male 	 homo 	 family 
 manage ; deal ; care ; handle 	 administri 	 verb 
 management ; direction 	 kondukado 	 society 
 manner ; mode ; style ; way ; fashion 	 maniero 	 mathematics 
 many 	 multaj 	 adjective 
 map 	 mapo 	 object 
 mark ; grade ; score 	 noto 	 education 
 marker ; marking ; mark 	 marko 	 abstract 
 market ; marketplace ; market place 	 bazaro 	 business 
 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 edzeco 	 society 
 marriage ; wedding ; marriage ceremony 	 geedzigxo 	 family 
 married 	 edzinigxinta 	 adjective 
 marry ; get married ; wed ; conjoin ; hook up with ; get hitched with ; espouse 	 edzigxi 	 verb 
 mass 	 maso 	 physics 
 master ; master copy ; original 	 originalo 	 object 
 match 	 matcxo 	 sports 
 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 korespondi 	 verb 
 match ; lucifer ; friction match 	 alumeto 	 object 
 material 	 materia 	 adjective 
 material ; stuff 	 materialo 	 material 
 matter 	 materio 	 material 
 matter ; affair ; thing 	 aĵo 	 abstract 
 me 	 min 	 pronoun 
 meal ; repast 	 manĝo 	 food 
 mean ; mean value 	 meznombro 	 mathematics 
 meaning ; pregnant ; significant 	 signifoplena 	 adjective 
 measure ; mensurate ; measure out 	 mezuri 	 verb 
 measure ; step 	 mezuro 	 abstract 
 measurement ; measuring ; measure ; mensuration 	 mezurado 	 art 
 meat 	 viando 	 food 
 medical 	 medicina 	 adjective 
 meet ; run into ; encounter ; run across ; come across ; see 	 renkonti 	 verb 
 meeting ; coming together 	 renkontigxo 	 communication 
 member ; fellow member 	 membro 	 society 
 memory 	 memoro 	 communication 
 memory ; retention ; retentiveness ; retentivity 	 memoro 	 communication 
 menstruation ; menses ; menstruum ; catamenia ; period ; flow 	 monatajxo 	 medicine 
 mention ; advert ; bring up ; cite ; name ; refer 	 mencii 	 verb 
 menu ; bill of fare ; card ; carte du jour ; carte 	 menuo 	 object 
 merely ; simply ; just ; only ; but 	 nur 	 adverb 
 metallic ; metal 	 metala 	 adjective 
 metallic element ; metal 	 metalo 	 material 
 method 	 metodo 	 mathematics 
 metro ; tube ; underground ; subway system ; subway 	 metroo 	 transport 
 midnight 	 noktomezo 	 time 
 might ; mightiness ; power 	 forto 	 abstract 
 military 	 militisto 	 adjective 
 military ; armed forces ; armed services ; military machine ; war machine 	 armeo 	 society 
 milk 	 lakto 	 food 
 million ; 1000000 ; one thousand thousand ; meg 	 miliono 	 number 
 mind ; head ; brain ; psyche ; nous 	 menso 	 mathematics 
 mine 	 minejo 	 object 
 minister ; government minister 	 ministro 	 profession 
 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 eta 	 adjective 
 minute ; min 	 minuto 	 time 
 mirror 	 spegulo 	 house 
 mistake ; error ; fault 	 eraro 	 communication 
 mod ; modern ; modernistic 	 moderna 	 adjective 
 model 	 modelo 	 object 
 modern 	 moderna 	 adjective 
 moisture ; wet 	 humideco 	 nature 
 moment ; minute ; second ; instant 	 momento 	 mathematics 
 moment ; mo ; minute ; second ; bit 	 minuto 	 time 
 money 	 mono 	 business 
 monkey 	 simio 	 animal 
 month 	 monato 	 transport 
 more ; more than 	 pli 	 adjective 
 morning ; morn ; morning time ; forenoon 	 mateno 	 time 
 mother ; female parent 	 patrino 	 family 
 motion ; movement ; move ; motility 	 movo 	 physics 
 mountain ; mount 	 monto 	 nature 
 mouth 	 busxo 	 anatomy 
 mouth ; oral cavity ; oral fissure ; rima oris 	 buŝo 	 anatomy 
 move ; displace 	 movi 	 verb 
 movement ; motion 	 movado 	 physics 
 movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 filmo 	 art 
 much 	 multe 	 adjective 
 muscle ; musculus 	 muskolo 	 anatomy 
 museum 	 muzeo 	 city 
 music 	 muziko 	 art 
 musician ; instrumentalist ; player 	 muzikisto 	 profession 
 my 	 mia 	 pronoun 
 nail 	 najlo 	 object 
 nail 	 ungo 	 anatomy 
 name 	 nomo 	 linguistics 
 name ; call 	 nomi 	 verb 
 narrow 	 malvasta 	 adjective 
 nation ; land ; country 	 nacio 	 society 
 national 	 nacia 	 adjective 
 natural 	 natura 	 adjective 
 natural language ; tongue 	 natura lingvo 	 linguistics 
 nature 	 naturo 	 nature 
 near ; close ; nigh 	 proksima 	 adjective 
 necessary 	 necesa 	 adjective 
 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 necesi 	 verb 
 neck ; cervix 	 kolo 	 anatomy 
 necktie ; tie 	 kravato 	 clothes 
 need ; demand 	 bezono 	 abstract 
 needle 	 kudrilo 	 medicine 
 neighbor ; neighbour 	 najbaro 	 family 
 nerve ; nervus 	 nervo 	 anatomy 
 net ; network ; mesh ; meshing ; meshwork 	 reto 	 material 
 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 profito 	 business 
 nether ; under 	 sub 	 adjective 
 new 	 nova 	 adjective 
 news ; intelligence ; tidings ; word 	 novaĵo 	 society 
 newspaper ; paper 	 ĵurnalo 	 object 
 nice 	 beleta 	 adjective 
 night ; nighttime ; dark 	 nokto 	 nature 
 nine ; 9 ; ix 	 naŭ 	 number 
 ninth ; 9th 	 naŭa 	 number 
 no 	 ne 	 abstract 
 no 	 nenia 	 adjective 
 noise ; dissonance ; racket 	 bruo 	 society 
 normal 	 normala 	 adjective 
 normally ; usually ; unremarkably ; commonly ; ordinarily 	 kutime 	 adverb 
 north 	 norda 	 adjective 
 north ; due north ; northward ; N 	 nordo 	 logistics 
 nose ; olfactory organ 	 nazo 	 anatomy 
 not ; non 	 ne 	 adverb 
 note ; annotation ; notation 	 noto 	 communication 
 note ; musical note ; tone 	 tononomo 	 art 
 nothing ; nil ; nix ; nada ; null ; aught ; cipher ; cypher ; goose egg ; naught ; zero ; zilch ; zip ; zippo 	 nenio 	 mathematics 
 now 	 nun 	 time 
 now ; at present 	 nuntempe 	 adverb 
 number 	 kalkuli 	 verb 
 number 	 nombro 	 linguistics 
 nurse 	 flegistino 	 profession 
 nut 	 boltingo 	 object 
 nut 	 nukso 	 food 
 obtain 	 akiri 	 verb 
 obviously ; evidently ; manifestly ; patently ; apparently ; plainly ; plain 	 evidente 	 adverb 
 occupation ; business ; job ; line of work ; line 	 okupo 	 business 
 of 	 de 	 preposition 
 offer 	 oferti 	 verb 
 offer ; offering 	 oferto 	 abstract 
 office ; business office 	 oficejo 	 business 
 officeholder ; officer 	 oficisto 	 profession 
 oil 	 oleo 	 material 
 old 	 maljuna 	 adjective 
 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 odoro 	 nature 
 on 	 sur 	 adjective 
 once ; one time ; in one case 	 iam 	 adverb 
 one-half ; half 	 duono 	 mathematics 
 open ; open up 	 malfermi 	 verb 
 open fire ; fire 	 pafi 	 verb 
 operation 	 operacio 	 abstract 
 operation ; functioning ; performance 	 funkciado 	 mathematics 
 opinion ; sentiment ; persuasion ; view ; thought 	 opinio 	 communication 
 opportunity ; chance 	 okazo 	 abstract 
 opposite 	 kontrauxa 	 adjective 
 option ; alternative ; choice 	 alternativo 	 abstract 
 or 	 aŭ 	 conjunction 
 orange 	 oranĝo 	 food 
 orange ; orangish 	 orangxa 	 color 
 orchestra 	 orkestro 	 art 
 order 	 mendo 	 society 
 order 	 ordo 	 linguistics 
 order ; monastic order 	 ordeno 	 society 
 order ; tell ; enjoin ; say 	 ordoni 	 verb 
 original 	 origina 	 adjective 
 other 	 alia 	 adjective 
 our 	 nia 	 pronoun 
 outburst ; burst ; flare-up 	 eksplodo 	 abstract 
 outside 	 ekster 	 adverb 
 outside ; exterior 	 eksterajxo 	 mathematics 
 oven 	 kuirforno 	 device 
 own ; ain 	 propra 	 adjective 
 own ; have ; possess 	 havi 	 verb 
 owner ; possessor 	 posedanto 	 business 
 package ; bundle ; packet ; parcel 	 pako 	 object 
 page 	 paĝo 	 object 
 pain ; hurting 	 doloro 	 medicine 
 paint ; pigment 	 farbo 	 art 
 painting ; picture 	 pentrado 	 art 
 paper 	 papero 	 material 
 parallel 	 paralela 	 adjective 
 park ; commons ; common ; green 	 parko 	 city 
 part ; portion ; component part ; component ; constituent 	 parto 	 abstract 
 part ; section ; division 	 divizio 	 mathematics 
 particularly ; peculiarly ; especially ; specially 	 speciale 	 adverb 
 party 	 festo 	 society 
 passenger ; rider 	 pasagxero 	 transport 
 passport 	 pasporto 	 object 
 past 	 pasinta 	 adjective 
 patient 	 pacienca 	 adjective 
 patient 	 paciento 	 medicine 
 pause ; intermission ; break ; interruption ; suspension 	 paŭzo 	 time 
 pay 	 pagi 	 verb 
 peace 	 paco 	 abstract 
 pen 	 plumo 	 object 
 pencil 	 krajono 	 object 
 percentage ; percent ; per centum ; pct 	 elcento 	 mathematics 
 person ; individual ; someone ; somebody ; mortal ; soul 	 persono 	 family 
 personal 	 persona 	 adjective 
 personality 	 personeco 	 abstract 
 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 petrolo 	 material 
 phase ; stage 	 fazo 	 time 
 photographer ; lensman 	 fotografisto 	 profession 
 physical 	 fizika 	 adjective 
 physical 	 fizika 	 adjective 
 picture ; image ; icon ; ikon 	 bildo 	 art 
 piece 	 peco 	 object 
 pilot ; airplane pilot 	 piloto 	 profession 
 pin 	 pinglo 	 object 
 pink ; pinkish 	 rozkolora 	 color 
 pipe ; pipage ; piping 	 tubaro 	 object 
 plain ; field ; champaign 	 ebenejo 	 nature 
 plan 	 plani 	 verb 
 plan ; program ; programme 	 plano 	 abstract 
 plant ; flora ; plant life 	 planto 	 house 
 plant ; works ; industrial plant 	 fabriko 	 city 
 plate 	 telero 	 food 
 play 	 ludi 	 verb 
 player ; participant 	 ludanto 	 sports 
 please ; delight 	 gxojigi 	 verb 
 pleasure ; pleasance 	 plezuro 	 abstract 
 plow ; plough ; turn 	 plugi 	 verb 
 poem ; verse form 	 poemo 	 art 
 poetry ; poesy ; verse 	 poezio 	 art 
 point ; dot 	 punkto 	 linguistics 
 poison 	 veneni 	 verb 
 poison ; toxicant ; poisonous substance 	 veneno 	 material 
 police ; police force ; constabulary ; law 	 polico 	 society 
 policeman ; police officer ; officer 	 policano 	 profession 
 policy 	 politiko 	 society 
 polish ; smooth ; smoothen ; shine 	 poluri 	 verb 
 political 	 politika 	 adjective 
 politician ; politico ; pol ; political leader 	 politikisto 	 profession 
 poor 	 malricxa 	 adjective 
 populace ; public ; world 	 popolamaso 	 society 
 population 	 logxantaro 	 society 
 position ; place 	 pozicio 	 linguistics 
 possible 	 eventuala 	 adjective 
 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 eble 	 adverb 
 postage ; postage stamp ; stamp 	 afranko 	 object 
 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 terpomo 	 food 
 powder ; pulverization ; pulverisation 	 polvo 	 material 
 power ; powerfulness 	 povo 	 abstract 
 practice 	 praktiko 	 art 
 practice ; practise ; exercise ; do 	 ekzerci 	 verb 
 precisely ; exactly ; just 	 gxuste 	 adverb 
 preferably ; sooner ; rather 	 prefere 	 adverb 
 present 	 donaco 	 object 
 present 	 nuna 	 adjective 
 president 	 prezidento 	 profession 
 pressure ; pressure level ; force per unit area 	 premo 	 nature 
 prevent ; forestall ; foreclose ; preclude ; forbid 	 preventi 	 verb 
 price 	 prezo 	 transport 
 price ; cost ; toll 	 kosto 	 business 
 print ; impress 	 presi 	 verb 
 prison ; prison house 	 prizono 	 city 
 private 	 privata 	 adjective 
 probable ; likely 	 versxajna 	 adjective 
 probably ; likely ; in all likelihood ; in all probability ; belike 	 versxajne 	 adverb 
 problem ; job 	 problemo 	 mathematics 
 procedure ; process 	 procedo 	 mathematics 
 process ; treat 	 prilabori 	 verb 
 produce ; make ; create 	 fabriki 	 verb 
 product ; production 	 produkto 	 object 
 production 	 produktado 	 abstract 
 professional 	 profesia 	 adjective 
 professional ; professional person 	 profesiisto 	 profession 
 profit ; turn a profit 	 profiti 	 verb 
 program ; programme ; computer program ; computer programme 	 programo 	 abstract 
 pronunciation 	 prononco 	 linguistics 
